Model,Architecture,Hidden_Dims,Sequence_Length,Epochs,Learning_Rate,Val_Loss,RMSE,MAE,RÂ²,MAPE (%)
TCN_LSTM_48h,tcnlstm,"[64, 32]",48,180,0.001,20.115521449791757,29.741410754567024,25.65499496459961,-0.0008751153945922852,0.2596193850040436
TCN_LSTM,tcnlstm,"[64, 32]",24,150,0.001,20.132280081510544,30.314895000423782,26.331113815307617,-0.003510594367980957,0.26209646463394165
TCN_Attention,tcnattention,"[64, 32]",24,150,0.001,19.678986656665803,30.419237615197456,26.344562530517578,-0.010430693626403809,0.2597641050815582
TCN_LR_Low,tcn,"[64, 32]",24,150,0.0001,19.67841398715973,31.30795309895065,26.8189697265625,-0.07033371925354004,0.25514960289001465
TCN_LR_High,tcn,"[64, 32]",24,150,0.01,19.657766389846802,31.353865477339372,27.799942016601562,-0.07347524166107178,0.2829066514968872
TCN_48h,tcn,"[128, 64]",48,180,0.001,19.767064332962036,32.23942262345512,26.65100860595703,-0.1760648488998413,0.2445777803659439
TCN_Deeper,tcn,"[64, 64, 32]",24,180,0.001,19.93806337118149,32.33012998253332,27.204206466674805,-0.141365647315979,0.24918389320373535
TCN_Shallow,tcn,"[32, 16]",24,100,0.001,19.62496532201767,32.721975202191146,27.376115798950195,-0.16920030117034912,0.24789948761463165
TCN_Medium,tcn,"[64, 32]",24,150,0.001,19.905114138126372,32.943942458767175,27.5516357421875,-0.18511641025543213,0.2486194223165512
TCN_72h,tcn,"[128, 64, 32]",72,220,0.0008,20.20119897942794,33.14620857018379,27.32835578918457,-0.295229434967041,0.2555035650730133
TCN_Wide,tcn,"[256, 128]",24,150,0.001,19.65496221780777,33.62450808480791,27.919185638427734,-0.23458707332611084,0.24827060103416443
TCN_Large,tcn,"[128, 64]",24,150,0.001,19.695857226848602,33.65130425882944,27.81680679321289,-0.2365555763244629,0.24665211141109467
TCN_Deep,tcn,"[128, 64, 32]",24,200,0.0005,19.40294760465622,35.85955371687491,29.080596923828125,-0.40416979789733887,0.24800202250480652
TCN_36h,tcn,"[64, 32]",36,150,0.001,19.04299466609955,35.9857675181062,28.829906463623047,-0.43950867652893066,0.24593739211559296
TCN_12h,tcn,"[64, 32]",12,150,0.001,20.08095034956932,36.18206356238976,29.65999984741211,-0.4071047306060791,0.2531247138977051
